Filename,Filter,Window Length,Prediction Frequencies,Proportion Predicted,Accuracy
Liviu6.66.easy,0,4.0 sec,"[6.66, 7.5, 10]","[0.2978723404255319, 0.35106382978723405, 0.35106382978723405]",0.2978723404255319
Liviu7.5.easy,0,4.0 sec,"[6.66, 7.5, 10]","[0.15957446808510639, 0.42553191489361702, 0.41489361702127658]",0.425531914893617
Liviu10.easy,0,4.0 sec,"[6.66, 7.5, 10]","[0.19148936170212766, 0.37234042553191488, 0.43617021276595747]",0.43617021276595747
Liviu6.66.easy,1,4.0 sec,"[6.66, 7.5, 10]","[0.28723404255319152, 0.34042553191489361, 0.37234042553191488]",0.2872340425531915
Liviu7.5.easy,1,4.0 sec,"[6.66, 7.5, 10]","[0.15957446808510639, 0.42553191489361702, 0.41489361702127658]",0.425531914893617
Liviu10.easy,1,4.0 sec,"[6.66, 7.5, 10]","[0.19148936170212766, 0.37234042553191488, 0.43617021276595747]",0.43617021276595747
Liviu6.66.easy,0,5.0 sec,"[6.66, 7.5, 10]","[0.33695652173913043, 0.25, 0.41304347826086957]",0.33695652173913043
Liviu7.5.easy,0,5.0 sec,"[6.66, 7.5, 10]","[0.097826086956521743, 0.41304347826086957, 0.4891304347826087]",0.41304347826086957
Liviu10.easy,0,5.0 sec,"[6.66, 7.5, 10]","[0.22826086956521738, 0.29347826086956524, 0.47826086956521741]",0.4782608695652174
Liviu6.66.easy,1,5.0 sec,"[6.66, 7.5, 10]","[0.32608695652173914, 0.25, 0.42391304347826086]",0.32608695652173914
Liviu7.5.easy,1,5.0 sec,"[6.66, 7.5, 10]","[0.097826086956521743, 0.41304347826086957, 0.4891304347826087]",0.41304347826086957
Liviu10.easy,1,5.0 sec,"[6.66, 7.5, 10]","[0.22826086956521738, 0.29347826086956524, 0.47826086956521741]",0.4782608695652174
Liviu6.66.easy,1,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.26595744680851063, 0.20212765957446807, 0.11702127659574468, 0.15957446808510639, 0.25531914893617019]",0.26595744680851063
Liviu7.5.easy,1,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.13829787234042554, 0.37234042553191488, 0.074468085106382975, 0.14893617021276595, 0.26595744680851063]",0.3723404255319149
Liviu10.easy,1,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.14893617021276595, 0.24468085106382978, 0.10638297872340426, 0.15957446808510639, 0.34042553191489361]",0.3404255319148936
Liviu6.66.easy,0,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.25531914893617019, 0.21276595744680851, 0.11702127659574468, 0.1702127659574468, 0.24468085106382978]",0.2553191489361702
Liviu7.5.easy,0,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.13829787234042554, 0.37234042553191488, 0.074468085106382975, 0.14893617021276595, 0.26595744680851063]",0.3723404255319149
Liviu10.easy,0,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.14893617021276595, 0.24468085106382978, 0.10638297872340426, 0.15957446808510639, 0.34042553191489361]",0.3404255319148936
